Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
454;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;South Bend Warehouse;Active;;MC Lab;MW-MFC054;365;Multi-Function Calibrator;;49430;;;;;;;Manufacturing;Multiple;Multi;Working;;7/1/2022;;7/1/2021;Direct Impact;;;;;;;;;;;;;;;;False;South Bend Warehouse
455;Orifice Plate;Unknown;4 INCH;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Oriflow;LW-OP07;1825;Flow Measurement;;021740;73;;;;;;Lab;Flow;4 inch;Working;;5/1/2021;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
456;Orifice Plate;Unknown;5 INCH;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Oriflow;LW-OP08;1825;Flow Measurement;;021742;73;;;;;;Lab;Flow;5 inch;Working;;5/1/2021;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
457;Orifice Plate;Unknown;6.25 INCH;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Oriflow;LW-OP09;1825;Flow Measurement;;021744;73;;;;;;Lab;Flow;6.25 inch;Working;;5/1/2021;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
458;Orifice Plate;Unknown;3 INCH;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Oriflow;LW-OP10;1825;Flow Measurement;;021747;73;;;;;;Lab;Flow;3 inch;Working;;5/1/2021;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
459;Orifice Plate;Unknown;2 INCH;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Oriflow;LW-OP11;1825;Flow Measurement;;021752;73;;;;;;Lab;Flow;2 inch;Working;;5/1/2021;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
460;Orifice Plate;Unknown;1 INCH;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Oriflow;LW-OP12;1825;Flow Measurement;;021754;73;;;;;;Lab;Flow;1 inch;Working;;5/1/2021;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
461;Omega Lab Grade Benchtop Wind-Tunnel with Instrumentation;Omega;WT4401-D;Cal Not Req;Dave Niezgodzki;MC Warehouse;Inactive;;Omega;LW-FB10;10000;Flow Measurement;;1607001;;;;;;;Lab;Flow;Various;N/A;;3/1/2044;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
462;Temperature Meter;Omega;HX97-A;Cal Not Req;Dave Niezgodzki;MC Warehouse;Inactive;;Omega;LW-FB10-DTI01;365;Temperature;;1607001;461;;;;;;Lab;Temperature;-30 to 75 Deg. C;Working;;7/26/2017;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Engineering
463;Humidity Meter;Omega;HX97-A;Cal Not Req;Dave Niezgodzki;MC Warehouse;Inactive;;Omega;LW-FB10-DHI01;365;Temperature;;1607001;461;;;;;;Lab;Temperature;-30 to 75 Deg. C;Working;;7/26/2017;;10/14/2016;Indirect Impact;;;;;;;;;;;;;;;;False;Engineering
464;Barometric Pressure Meter;Omega;PX02K1-16A5T;Cal Not Req;Dave Niezgodzki;MC Warehouse;Inactive;;Omega;LW-FB10-DPI04;365;Pressure Indicator;;1607001;461;;;;;;Lab;Pressure;16 to 32 in Hg.;Working;;7/26/2017;;10/14/2016;Indirect Impact;;;;;;;;;;;;;;;;False;Engineering
465;Differntial Pressure Meter;Omega;PX657-05DI;Cal Not Req;Dave Niezgodzki;MC Warehouse;Inactive;;MC Lab;LW-FB10-DPI05;365;Pressure Indicator;;I16070150;461;;;;;;Lab;Pressure;16 to 32 in Hg.;Working;;2/16/2017;;10/14/2016;Direct Impact;;;;;;;;;;;;;;;;False;Engineering
466;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM110;365;Pressure;;57308;;;;;;;Manufacturing;Pressure;0 - 100 PSIA;Working;;3/10/2022;;3/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
467;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Accredited Lab;MW-PM111;365;Pressure;;62177;;;;;;;Manufacturing;Pressure;0 - 30 PSIG;Working;;3/16/2022;;3/16/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
468;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM112;365;Pressure;;62188;;;;;;;Manufacturing;Pressure;0 - 600 PSIG;Working;;3/10/2022;;3/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
469;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM113;182;Pressure;;62173;;;;;;;Manufacturing;Pressure;0 - 1000 PSIG;Working;;10/27/2021;;4/28/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
470;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.025%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM114;365;Pressure;;62192;;;;;;;Manufacturing;Pressure;0 - 300 PSIG;Working;;2/10/2022;;2/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
471;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Accredited Lab;MW-PM115;365;Pressure;;60384;;;;;;MC1004;Manufacturing;Pressure;0 - 5.0" WC;Working;;11/2/2021;;11/2/2020;Direct Impact;;;;;;;;;;;;;;;;False;R54
472;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Accredited Lab;MW-PM116;365;Pressure;;60385;;;;;;MC1006;Manufacturing;Pressure;0 - 25.0" WC;Working;;12/10/2021;;12/10/2020;Direct Impact;;;;;;;;;;;;;;;;False;R54
473;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Accredited Lab;MW-PM117;365;Pressure;;60386;;;;;;MC1007;Manufacturing;Pressure;0 - 50.0" WC;Working;;4/7/2022;;4/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
474;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM118;365;Pressure;;60387;;;;;;MC4001;Manufacturing;Pressure;+/- 0.5" WC;Working;;4/20/2022;;4/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
475;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM119;365;Pressure;;60388;;;;;;MC4002;Manufacturing;Pressure;+/- 1.0" WC;Working;;12/9/2021;;12/9/2020;Direct Impact;;;;;;;;;;;;;;;;False;R54
476;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Accredited Lab;LW-PM075;365;Pressure;;38044;;;;;;MC2016;Lab;Lab;0 - 100.0 PSIG;Working;;3/23/2022;;3/23/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
477;DGH,  4 - 20 mA DAQ;DGH;D1251;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ03;182;Electrical Measurement;;0930 (M08012);;;;;;M08012;Manufacturing;Data collection Calibration;4 - 20 mA;Working;;1/10/2022;;7/12/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
478;DGH,  4 - 20 mA DAQ;DGH;D1251;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ04;365;Electrical Measurement;;0431;;;;;;;Manufacturing;Data collection Calibration;4 - 20 mA;Working;;3/18/2022;;3/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
479;DGH,  4 - 20 mA DAQ;DGH;D1251;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ05;182;Electrical Measurement;;0509;;;;;;M08014;Manufacturing;Data collection Calibration;4 - 20 mA;Working;;10/27/2021;;4/28/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
480;DGH,  +/- 10 V DAQ;DGH;D1141;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ06;365;Electrical Measurement;;0810 (M08077);;;;;;D1251-002;Manufacturing;Data collection Calibration;+/- 10 V;Working;;4/28/2022;;4/28/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
481;Dresser Module;Dresser;AQS-1 (+/- 0.06% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM076;365;Pressure;;11942;;;;;;;Lab;Lab;+/- 25.0" WC;Working;;12/22/2021;;12/22/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
482;Heise Pressure Meter;Heise;PM;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-DPI06;365;Pressure Indicator;;40031;;;;;;PPM-40040, PPM-40041;Lab;Pressure;0 - 0.25"WC & 0 - 1.0" WC;Working;;1/11/2018;;1/11/2017;Direct Impact;;;;;;;;;;;;;;;;False;Engineering
483;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ19;365;Electrical Measurement;;95119;;;;;;;Lab;Lab;Multi;Working;;1/23/2021;;1/24/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
484;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM120;365;Pressure;;27818;;;;;;1001;Manufacturing;Pressure;0 - 0.5" WC;Working;;10/7/2022;;10/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
485;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-PM121;365;Pressure;;59846;;;;;;;Manufacturing;Pressure;-15/30 PSIG;Working;;10/19/2022;;10/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
486;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM122;365;Pressure;;35629;;;;;;MC1001;Manufacturing;Pressure;0 - 0.5" WC;Working;;7/1/2022;;7/1/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
487;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM123;365;Pressure;;58444;;;;;;;Manufacturing;Pressure;0 - 10.0" WC;Working;;6/28/2022;;6/28/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
488;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM124;365;Pressure;;34736;;;;;;MC4000;Manufacturing;Pressure;+/- 0.25" WC;Working;;10/7/2022;;10/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
489;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM125;365;Pressure;;30025;;;;;;MC1004;Manufacturing;Pressure;0 - 5.0" WC;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
490;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM126;365;Pressure;;39565;;;;;;MC4001;Manufacturing;Pressure;+/- 0.5" WC;Working;;10/7/2022;;10/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
491;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-PM127;365;Pressure;;39566;;;;;;MC4004;Manufacturing;Pressure;+/- 5.0" WC;Working;;10/30/2021;;10/30/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
492;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-PM128;365;Pressure;;58006;;;;;;;Manufacturing;Pressure;+/- 5.0" WC;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
493;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-PM129;365;Pressure;;59854;;;;;;;Manufacturing;Pressure;+/- 50.0" WC;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
494;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM130;365;Pressure;;62168;;;;;;MC1007;Manufacturing;Pressure;0 - 50.0" WC;Working;;4/20/2022;;4/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
495;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;PSL;MW-PM131;365;Pressure;;62169;;;;;;MC4007;Manufacturing;Pressure;+/- 50.0" WC;Working;;5/5/2022;;5/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
496;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;PSL;MW-MFC055;365;Multi-Function Calibrator;;49944;;;;;;;Manufacturing;Multiple;Multi;Working;;5/25/2022;;5/25/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
497;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;PSL;MW-MFC056;365;Multi-Function Calibrator;;49799;;;;;;;Manufacturing;Multiple;Multi;Working;;4/30/2022;;4/30/2021;Direct Imapct;;;;;;;;;;;;;;;;False;R64
498;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM132;365;Pressure;;62170;;;;;;MC4003;Manufacturing;Pressure;+/- 2.5" WC;Working;;4/29/2022;;4/29/2021;Direct Imapct;;;;;;;;;;;;;;;;False;R64
499;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM133;365;Pressure;;62271;;;;;;MC1002;Manufacturing;Pressure;0 -1.0" WC;Working;;4/20/2022;;4/20/2021;Direct Imapct;;;;;;;;;;;;;;;;False;R64
500;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM134;365;Pressure;;30024;;;;;;MC1004;Manufacturing;Pressure;0 -5.0" WC;Working;;4/20/2022;;4/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
501;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;PSL;MW-MFC057;365;Multi-Function Calibrator;;49867;;;;;;;Manufacturing;Multiple;Multi;Working;;4/30/2022;;4/30/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
502;Humidity & Temperature Meter;Vaisala;HMT333;Calibration;Dave Niezgodzki;R64;Active;;Vaisala;MW-HMT12;365;Temperature & Humidity;;K3020117;;;;;;;Manufacturing;Temperature & Humidity;0-100%rH, -40 - 80 Deg. C;Working;;3/23/2022;;3/23/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
503;Measurement Computing DAQ;Engineering Lab Design;USB-1616HS;Validation;Dave Niezgodzki;Manufacturing Wind Tunnel;Active;;Measurement Comp.;MW-FB01-DAQ07;365;Electrical Measurement;;365739;;;;;;;Manufacturing;Data collection;Multi;Working;;6/5/2019;;6/5/2018;Direct Impact;;;;;;;;;;;;;;;;False;R64
504;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ20;365;Electrical Measurement;;88983;;;;;;;Lab;Lab;Multi;Working;;4/14/2022;;4/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
505;Omega Humidity, Temperature and Barometric Pressure Transmitter;Omega Engineering;iBTHX-D;Calibration;Dave Niezgodzki;R64;Active;;Innocal;MW-FB01-HTP04;91;Enviromental Measurement;;4170370;;;;;;;Manufacturing;Air Speed;Various;Working;;12/3/2019;;9/3/2019;Direct Impact;;;;;;;;;;;;;;;;False;R64
506;Pace Pressure Module;GE/Druck;CM2-05G;Calibration;Dave Niezgodzki;R54;Active;;Transcat;MW-PCM05;365;Pressure;;4195242;;;;;;;Manufacturing;Pressure;+/- 15 PSIG;Working;;4/3/2018;;4/3/2017;Direct Impact;;;;;;;;;;;;;;;;False;R54
507;Pace Pressure Module;GE/Druck;CM2-05G;Calibration;Dave Niezgodzki;R54;Active;;Transcat;MW-PCM06;1825;Pressure;;4042793;;;;;;;Manufacturing;Pressure;+/- 15 PSIG;Working;;3/10/2025;;3/11/2020;Direct Impact;;;;;;;;;;;;;;;;False;R54
508;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-MFC058;365;Multi-Function Calibrator;;49386;;;;;;;Manufacturing;Multiple;Multi;Working;;4/22/2022;;4/22/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
509;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-MFC059;365;Multi-Function Calibrator;;49443;;;;;;;Manufacturing;Multiple;Multi;Working;;10/8/2022;;10/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
510;DGH,  +/- 10V DAQ;DGH;D1141;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ08;182;Electrical Measurement;;1644;;;;;;;Manufacturing;Data collection Calibration;+/- 10V;Working;;9/13/2021;;3/15/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
511;DGH,  +/- 10V DAQ;DGH;D1141;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ09;365;Electrical Measurement;;1644A;;;;;;;Manufacturing;Data collection Calibration;+/- 10V;Working;;11/9/2017;-1;11/9/2016;Direct Impact;;;;;;;;;;;;;;;;False;R64
512;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;P01 AVLV;Active;;Callabco;MW-DMM06;365;Electrical Calibrations;;MY56401307;727;;;;;;Manufacturing;Manufacturing;Multi;Working;;3/12/2022;;3/12/2021;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
513;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;P01 Pilot Line;Active;;Callabco;MW-DMM07;365;Electrical Calibrations;;MY56160343;727;;;;;;Manufacturing;Manufacturing;Multi;Working;;3/15/2022;;3/15/2021;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
514;Pace Pressure Module;GE/Druck;CM2-008G;Calibration;Dave Niezgodzki;R54;Active;;Transcat;MW-PCM07;365;Pressure;;3556699;;;;;;;Manufacturing;Pressure;+/- 0.35 PSIG;Working;;3/7/2018;;3/7/2017;Direct Impact;;;;;;;;;;;;;;;;False;R54
515;Mensor;Mensor;15000;Calibration;Dave Niezgodzki;MC Lab;Active;;Mensor;LW-DPI07;182;Digital Pressure Indicator;;240807;;;;;;9501;Lab;Pressure;0 - 10,000 PSIG;Working;;9/14/2021;;3/16/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
516;Digital Multimeter;Agilent;34401A;Calibration;Dave Niezgodzki;R54;Active;;Callabco;MW-DMM08;365;Electrical Calibrations;;MY44005682;;;;;;;Manufacturing;Manufacturing;Multi;Working;;11/16/2017;;11/16/2016;Direct Impact;;;;;;;;;;;;;;;;False;R54
517;Alicat Scientific Flowmeter;Alicat Scientific;MC-1SLPM-D/5M, LIN, GAS: N2;Calibration;Dave Niezgodzki;P01 CDT Production Line;Active;;MC Lab;MW-FM10;182;Flow Measurement;;48742;;;;;;;Manufacturing;Flow CDT Line;0 - 1.000 SLPM;Working;;3/8/2022;;9/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;P01 Production
518;Alicat Scientific Flowmeter;Alicat Scientific;MC-1SLPM-D/5M, LIN, GAS: N2;Calibration;Dave Niezgodzki;Grandview;Active;;MC Lab;MW-FM11;365;Flow Measurement;;43173;;;;;;;Manufacturing;Flow CDT Line;0 - 1.000 SLPM;Working;;3/9/2022;;9/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;Grandview
519;Alicat Scientific Flowmeter;Alicat Scientific;M-1SLPM-D/5M, LIN, GAS: N2;Calibration;Dave Niezgodzki;Grandview;Active;;MC Lab;MW-FM12;365;Flow Measurement;;69015;;;;;;;Manufacturing;Flow CDT Line;0 - 1.000 SLPM;Working;;10/13/2022;;10/13/2021;Direct Impact;;;;;;;;;;;;;;;;False;Grandview
520;Alicat Scientific Flowmeter;Alicat Scientific;MC-1SLPM-D/5M, LIN, GAS: N2;Calibration;Dave Niezgodzki;Grandview;Active;;MC Lab;MW-FM13;365;Flow Measurement;;48743;;;;;;;Manufacturing;Flow CDT Line;0 - 1.000 SLPM;Working;;9/8/2022;;9/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;Grandview
521;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM077;365;Pressure;;38328;;;;;;;Lab;Lab;0 - 15 PSIA;Working;;9/9/2022;;9/9/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
522;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.1% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM078;365;Pressure;;10666;;;;;;;Lab;Lab;0 - 100" WC;Working;;4/20/2022;;4/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
523;Master Gauge;Robertshaw;Acragage;Calibration;Dave Niezgodzki;Wolcott;Active;;Internal;MW-PI21;365;Pressure;;30-100-1;;;;;;;Manufacturing;Pressure;-30in. Hg to 100 PSIG;Working;;1/18/2022;;1/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wolcott
524;Master Gauge;Robertshaw;Acragage;Calibration;Dave Niezgodzki;Wolcott;Active;;MC Lab;MW-PI22;365;Pressure;;300-2;;;;;;;Manufacturing;Pressure;0 - 300 PSIG;Working;;1/29/2022;;1/29/2021;Direct Impact;;;;;;;;;;;;;;;;False;Wolcott
525;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;P01 Pilot Line;Active;;MC Lab;MW-FB03-MFC60;365;Multi-Function Calibrator;;49000;727;;;;;;Manufacturing;Multiple;Multi;Working;;9/8/2022;;9/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
526;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07%);Calibration;Dave Niezgodzki;P01 AVPT   ;Active;;Ashcroft;MW-FB03-PM135;365;Pressure;;63821;727;;;;;MC1001;Manufacturing;Pressure;0 -0.5" WC;Working;;12/8/2021;;12/8/2020;Direct Impact;;;;;;;;;;;;;;;;False;P01 Production
527;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;P01 Pilot Line;Active;;Ashcroft;MW-FB03-PM136;365;Pressure;;63822;727;;;;;MC1003;Manufacturing;Pressure;0 - 2.0" WC;Working;;12/8/2021;;12/8/2020;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
528;Vaisala Humidity, Temperature and Barometric Pressure Transmitter;Vaisala;PTU-303;Calibration;Dave Niezgodzki;P01 Pilot Line;Active;;Vaisala;MW-FB03-HTP05;182;Enviromental Measurement;;M4520013;727;;;;;;Manufacturing;Temp., Hum. & Pressure;Various;Working;;3/9/2022;;9/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
529;Fluke Documenting Process Calibrator;Fluke;741B;Calibration;Dave Niezgodzki;R54;Active;;Callabco;MW-MFC061;365;Multi-Function Calibrator;;8076012;;;;;;;Manufacturing;Multiple;Multi;Working;;2/7/2020;;2/7/2019;Direct Impact;;;;;;;;;;;;;;;;False;R54
530;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM079;365;Pressure;;57082;;;;;;2013;Lab;Lab;0 - 30 PSIG;Working;;7/7/2022;;7/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
531;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.07% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM080;365;Pressure;;5804;;;;;;;Lab;Lab;0 - 0.5" WC;Working;;12/23/2021;;12/23/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
532;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM081;365;Pressure;;27820;;;;;;1002;Lab;Lab;0 - 1.0" WC;Working;;5/3/2022;;5/3/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
533;Ashcroft Module;Ashcroft;AQS-1 (+/- 0.07% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM082;365;Pressure;;57385;;;;;;;Lab;Lab;+/- 0.125" WC;Working;;12/21/2021;;12/21/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
534;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.1% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM083;365;Pressure;;15362;;;;;;;Lab;Lab;0 - 200.0" WC;Working;;7/7/2022;;7/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
535;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM084;365;Pressure;;10671;;;;;;;Lab;Lab;+/- 12.5" WC;Working;;12/22/2021;;12/22/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
536;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06% F.S.);Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM085;365;Pressure;;15056;;;;;;;Lab;Lab;0 - 5.0" WC;Working;;7/14/2022;;7/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
537;Torque Wrench;CDI;2502MRMH;Calibration;Dave Niezgodzki;MC Lab;Active;;Fox Valley Metrology;LW-TW01;182;Torque Measurement;;0916805698;;12/12/2016;;;;;Lab;Torque;0 - 250 in.-lb;Working;;1/25/2021;;7/27/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
