Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
1455;Dielectric Strength Tester;Associated Research;Hypot II  7550DT;Calibration;Dave Niezgodzki;P01 Production Line;Active;;Callabco;MW-DST02;365;Electrical Measurement;;110740;;;;;;;Manufacturing;Dielectric Strength Testing;0 - 5 KVAC, 0 - 6 KVDC;Working;;2/25/2022;;2/25/2021;;;;;;;;;;;;;;;;;False;P01 Production
1456;Master Gauge;Omega Engineering;PGT-45B-2000;Calibration;Dave Niezgodzki;Grandview;Active;;MC Lab;MW-PI40;365;Pressure;;2000-5;;;;;;QA0409A;Manufacturing;Pressure;0 - 2000 PSIG;Working;;3/4/2022;;3/4/2021;;;;;;;;;;;;;;;;;False;Grandview
1457;Master Gauge;Omega Engineering;PGT-45B-100;Calibration;Dave Niezgodzki;Grandview;Active;;MC Lab;MW-PI41;365;Pressure;;100-15;;;;;;QA0412H;Manufacturing;Pressure;0 - 2000 PSIG;Working;;2/25/2022;;2/25/2021;;;;;;;;;;;;;;;;;False;Grandview
1458;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;MSX (E);Active;;Accredited Lab;MW-DMM70;365;Electrical Measurement;;MY59410012;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;10/11/2021;;3/3/2021;;;;;;;;;;;;;;;;;False;P01 Production
1459;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;MSX (E);Active;;Accredited Lab;MW-DMM71;365;Electrical Measurement;;MY60360025;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;3/3/2022;;3/3/2021;;;;;;;;;;;;;;;;;False;P01 Production
1460;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;MSX (E);Active;;Accredited Lab;MW-DMM72;365;Electrical Measurement;;MY60080043;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;3/3/2022;;3/3/2021;;;;;;;;;;;;;;;;;False;P01 Production
1461;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;MSX (E);Active;;Accredited Lab;MW-DMM73;365;Electrical Measurement;;MY59400001;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;10/11/2021;;3/3/2021;;;;;;;;;;;;;;;;;False;P01 Production
1462;Pace Chassis;GE/Druck;5000;Cal Not Req;Dave Niezgodzki;MFG ENG;Active;;GE/Druck;MW-DPI41;1826;Digital Pressure Indicator;;11885535;;;;;;;Manufacturing;Pressure;;Working;;3/3/2026;;3/3/2021;;;;;;;;;;;;;;;;;False;Mag Line
1463;Dielectric Strength Tester;Associated Research;Hypot II  7550DT;Calibration;Dave Niezgodzki;P01 Production Line;Active;;Callabco;MW-DST03;365;Electrical Measurement;;9111099;;;;;;;Manufacturing;Dielectric Strength Testing;0 - 5 KVAC, 0 - 6 KVDC;Working;;2/13/2021;;3/3/2021;;;;;;;;;;;;;;;;;False;P01 Production
1464;Automation Direct Analog PLC Card;Automation Direct;P2-8AD4DA-1;Calibration;Dave Niezgodzki;Grandview Leak Rate Tester;Active;;Callabco;MW-APLC11;365;Electrical Measurement;;P2-8AD4DA-1+18X11F033D;;;;;;;Manufacturing;Electrical Measurement;In: 0-20mA, Out: 4-20mA;Working;;4/1/2022;;4/1/2021;;;;;;;;;;;;;;;;;False;Grandview
1465;Dielectric Strength Tester;Associated Research;HypotUltra 6550DT;Cal Not Req;Dave Niezgodzki;P01 Production Line;Inactive;;Callabco;MW-DST04;365;Electrical Measurement;;940597;;;;;;;Manufacturing;Dielectric Strength Testing;0 - 5 KVAC, 0 - 6 KVDC;Working;;5/9/2022;;5/9/2021;;;;;;;;;;;;;;;;;False;P01 Production
1466;Pressure Transmitter;Dwyer;628-14-S1;Calibration;Dave Niezgodzki;Grandview Leak Rate Tester;Active;;MC Lab;MW-PT12;365;Pressure;;02GF5T;;;;;;;Lab;Pressure;0 - 500 PSIG;Working;;3/11/2022;;3/11/2021;;;;;;;;;;;;;;;;;False;Grandview
1467;Torque and Data Analizing System;CDI;Multitorq;Calibration;Dave Niezgodzki;MC Lab;Active;;Fox Valley Metrology;LW-TD02;365;Torque Measurement;;02038003;;;;;;;Lab;Torque;Multi Ranges;Working;;4/7/2022;;4/7/2021;;;;;;;;;;;;;;;;;False;Engineering
1468;Torque Sensor;CDI;101-I-MT;Calibration;Dave Niezgodzki;MC Lab;Active;;F. V. M.;LW-TD02-TS01;365;Torque Measurement;;0902800005;1467;;;;;;Lab;Torque;1 to 10 in.-lb;Working;;4/7/2022;;4/7/2021;;;;;;;;;;;;;;;;;False;Engineering
